Drawing,Factor,Exclude,LoginID,Image_Name,rater1,rater2,rater3,rater4,rater5,rater6
133,1.705,0,105@CRAM,w37.s98.u1994q19,4,4,3,4,4,5
134,1.067,0,105@CRAM,w37.s98.u1994q56,4,3,3,4,3,4
135,0.114,0,106@CRAM,w37.s98.u1995q3,3,2,2,4,2,3
136,0.095,0,106@CRAM,w37.s98.u1995q4,3,2,3,3,2,3
137,-0.474,0,106@CRAM,w37.s98.u1995q13,2,3,2,3,1,2
138,0.21,0,106@CRAM,w37.s98.u1995q15,3,3,4,3,2,2
139,-0.501,0,106@CRAM,w37.s98.u1995q17,2,2,4,2,2,1
140,0.923,0,106@CRAM,w37.s98.u1995q19,4,3,4,2,3,4
141,-0.273,0,106@CRAM,w37.s98.u1995q56,3,2,2,3,1,3
142,1.575,0,107@CRAM,w37.s98.u1999q3,5,4,4,4,3,4
143,0.649,0,107@CRAM,w37.s98.u1999q4,4,3,2,3,3,3
144,1.377,0,107@CRAM,w37.s98.u1999q13,4,3,4,5,4,3
145,-0.874,0,107@CRAM,w37.s98.u1999q15,1,2,2,3,1,2
146,0.738,0,107@CRAM,w37.s98.u1999q17,4,3,4,2,3,3
147,0.098,0,107@CRAM,w37.s98.u1999q19,2,3,2,4,2,3
148,-0.405,0,107@CRAM,w37.s98.u1999q56,2,2,2,3,2,2
149,-1.011,0,109@CRAM,w37.s98.u2000q3,1,3,3,1,1,1
150,-0.9,0,109@CRAM,w37.s98.u2000q4,2,2,1,2,1,2
151,-0.55,0,109@CRAM,w37.s98.u2000q13,3,3,1,1,2,1
152,-0.577,0,109@CRAM,w37.s98.u2000q15,2,2,4,2,1,2
153,0.418,0,109@CRAM,w37.s98.u2000q17,4,3,4,3,2,2
154,0.5,0,109@CRAM,w37.s98.u2000q19,5,3,4,2,2,2
155,-0.892,0,109@CRAM,w37.s98.u2000q56,1,2,3,2,1,2
156,0.656,0,110@CRAM,w37.s98.u2001q3,3,3,4,3,3,3
157,2.389,0,110@CRAM,w37.s98.u2001q4,5,4,5,4,5,5
158,0.365,0,110@CRAM,w37.s98.u2001q13,3,3,2,3,2,4
159,1.628,0,110@CRAM,w37.s98.u2001q15,4,4,4,4,4,4
160,1.182,0,110@CRAM,w37.s98.u2001q17,4,4,4,4,3,3
161,0.348,0,110@CRAM,w37.s98.u2001q19,2,4,3,3,3,2
162,0.548,0,110@CRAM,w37.s98.u2001q56,3,3,3,3,3,3
163,-1.185,0,111@CRAM,w37.s98.u2003q3,1,2,2,2,1,1
164,-1.026,0,111@CRAM,w37.s98.u2003q4,2,2,1,1,1,2
165,-0.415,0,111@CRAM,w37.s98.u2003q13,2,3,2,2,1,3
166,-1.485,0,111@CRAM,w37.s98.u2003q15,1,1,1,2,1,1
167,-0.792,0,111@CRAM,w37.s98.u2003q17,2,2,2,2,1,2
168,-0.657,0,111@CRAM,w37.s98.u2003q19,2,2,2,1,2,2
169,NA,1,111@CRAM,w37.s98.u2003q56,NA,1,n/a,NA,NA,1
170,0.667,0,112@CRAM,w37.s98.u2004q3,4,3,1,4,3,3
171,1.202,0,112@CRAM,w37.s98.u2004q4,4,3,3,3,4,4
172,-0.977,0,112@CRAM,w37.s98.u2004q13,2,2,2,2,1,1
173,-1.192,0,112@CRAM,w37.s98.u2004q15,1,1,2,2,1,2
174,-1.085,0,112@CRAM,w37.s98.u2004q17,2,2,1,2,1,1
175,0.882,0,112@CRAM,w37.s98.u2004q19,4,3,3,4,3,3
176,0.867,0,112@CRAM,w37.s98.u2004q56,3,4,3,4,3,3
177,-0.499,0,113@CRAM,w37.s98.u2006q3,2,2,3,2,1,3
178,1.282,0,113@CRAM,w37.s98.u2006q4,5,4,3,4,3,3
179,-0.005,0,113@CRAM,w37.s98.u2006q13,3,3,2,3,2,2
180,-0.631,0,113@CRAM,w37.s98.u2006q15,1,2,3,2,2,2
181,-0.659,0,113@CRAM,w37.s98.u2006q17,2,3,2,3,1,1
182,-0.824,0,113@CRAM,w37.s98.u2006q19,2,2,1,2,2,1
183,0.022,0,113@CRAM,w37.s98.u2006q56,3,3,1,2,3,2
184,-0.012,0,112#@CRAM,w37.s98.u2007q3,3,2,2,3,2,3
185,0.567,0,112#@CRAM,w37.s98.u2007q4,3,3,2,4,3,3
186,1.252,0,112#@CRAM,w37.s98.u2007q13,4,3,3,4,3,5
187,-1.485,0,112#@CRAM,w37.s98.u2007q15,1,1,1,2,1,1
188,-1.085,0,112#@CRAM,w37.s98.u2007q17,2,2,1,2,1,1
189,-1.1,0,112#@CRAM,w37.s98.u2007q19,1,3,1,2,1,1
190,-0.113,0,112#@CRAM,w37.s98.u2007q56,3,3,1,3,2,2
191,1.602,0,111@cram,w37.s98.u2008q3,5,4,3,3,4,4
192,-0.892,0,111@cram,w37.s98.u2008q4,1,2,3,2,1,2
193,0.967,0,111@cram,w37.s98.u2008q13,4,4,2,4,3,3
194,0.441,0,111@cram,w37.s98.u2008q15,3,3,2,3,3,3
195,-1.21,0,111@cram,w37.s98.u2008q17,2,2,1,1,1,1
196,-0.213,0,111@cram,w37.s98.u2008q19,2,3,2,3,2,2
197,0.441,0,111@cram,w37.s98.u2008q56,3,3,2,3,3,3
198,0.968,0,113@cram,w37.s98.u2009q3,4,3,2,2,4,4
199,0.733,0,113@cram,w37.s98.u2009q4,3,3,3,3,3,4
200,1.913,0,113@cram,w37.s98.u2009q13,5,4,3,4,4,5
201,-1.485,0,113@cram,w37.s98.u2009q15,1,1,1,2,1,1
202,-0.305,0,113@cram,w37.s98.u2009q17,3,2,1,3,2,2
203,0.441,0,113@cram,w37.s98.u2009q19,3,3,2,3,3,3
204,0.958,0,113@cram,w37.s98.u2009q56,4,3,3,4,4,2
205,0.08,0,114@CRAM,w37.s98.u2013q3,2,3,3,3,2,3
206,0.363,0,114@CRAM,w37.s98.u2013q4,3,3,3,3,3,2
207,-0.482,0,114@CRAM,w37.s98.u2013q13,2,2,3,3,2,1
208,-1.485,0,114@CRAM,w37.s98.u2013q15,1,1,1,2,1,1
209,-0.639,0,114@CRAM,w37.s98.u2013q17,2,2,1,2,2,2
210,-0.765,0,114@CRAM,w37.s98.u2013q19,2,2,1,1,2,2
211,-0.213,0,114@CRAM,w37.s98.u2013q56,2,3,2,3,2,2
212,0.964,0,115@CRAM,w37.s98.u2017q3,5,3,3,3,3,3
213,-0.315,0,115@CRAM,w37.s98.u2017q4,3,3,1,2,1,3
214,0.415,0,115@CRAM,w37.s98.u2017q13,4,3,1,2,3,3
215,-1.377,0,115@CRAM,w37.s98.u2017q15,1,1,2,2,1,1
216,0.274,0,115@CRAM,w37.s98.u2017q17,3,3,1,4,3,2
217,-0.95,0,115@CRAM,w37.s98.u2017q19,2,2,1,1,2,1
218,1.193,0,115@CRAM,w37.s98.u2017q56,4,3,3,5,3,4
219,0.941,0,116@CRAM,w37.s98.u2018q3,4,3,3,3,3,4
220,0.069,0,116@CRAM,w37.s98.u2018q4,4,2,2,2,2,3
221,-0.388,0,116@CRAM,w37.s98.u2018q13,2,3,1,1,2,3
222,-1.485,0,116@CRAM,w37.s98.u2018q15,1,1,1,2,1,1
223,-0.38,0,116@CRAM,w37.s98.u2018q17,2,3,1,4,2,1
224,-0.95,0,116@CRAM,w37.s98.u2018q19,2,2,1,1,2,1
225,-0.682,0,116@CRAM,w37.s98.u2018q56,1,3,2,3,1,2
226,-0.231,0,117#@CRAM,w37.s98.u2019q3,2,3,3,2,2,2
227,-0.104,0,117#@CRAM,w37.s98.u2019q4,4,1,1,3,2,3
228,0.287,0,117#@CRAM,w37.s98.u2019q13,3,3,3,3,2,3
229,-1.3,0,117#@CRAM,w37.s98.u2019q15,1,1,1,2,1,2
230,-0.977,0,117#@CRAM,w37.s98.u2019q17,2,2,2,2,1,1
231,-1.107,0,117#@CRAM,w37.s98.u2019q19,1,2,1,2,1,2
232,-1,0,117#@CRAM,w37.s98.u2019q56,1,2,2,2,1,2
233,0.365,0,118@CRAM,w37.s98.u2020q3,3,3,2,3,2,4
234,1.36,0,118@CRAM,w37.s98.u2020q4,4,3,4,4,3,5
235,1.09,0,118@CRAM,w37.s98.u2020q13,5,3,3,4,3,3
236,-0.382,0,118@CRAM,w37.s98.u2020q15,3,2,2,3,2,1
237,0.479,0,118@CRAM,w37.s98.u2020q17,5,2,2,3,3,2
238,0.598,0,118@CRAM,w37.s98.u2020q19,4,4,1,4,2,3
239,-1.069,0,118@CRAM,w37.s98.u2020q56,3,1,1,2,1,1
240,1.167,0,119#@CRAM,w37.s98.u2022q3,5,3,2,4,3,4
241,-0.666,0,119#@CRAM,w37.s98.u2022q4,2,2,2,3,1,2
242,0.162,0,119#@CRAM,w37.s98.u2022q13,3,3,3,2,2,3
243,-1.377,0,119#@CRAM,w37.s98.u2022q15,1,1,2,2,1,1
244,1.52,0,119#@CRAM,w37.s98.u2022q17,4,4,3,4,4,4
245,0.706,0,119#@CRAM,w37.s98.u2022q19,4,4,2,4,2,3
246,-1.292,0,119#@CRAM,w37.s98.u2022q56,1,2,1,2,1,1
247,0.633,0,120@cram,w37.s98.u2023q3,3,4,2,3,3,3
248,-0.231,0,120@cram,w37.s98.u2023q4,2,3,3,2,2,2
249,0.256,0,120@cram,w37.s98.u2023q13,3,3,2,3,3,2
250,-1.485,0,120@cram,w37.s98.u2023q15,1,1,1,2,1,1
251,-0.298,0,120@cram,w37.s98.u2023q17,2,2,3,3,2,2
252,1.401,0,120@cram,w37.s98.u2023q19,5,3,3,5,3,4
253,0.699,0,120@cram,w37.s98.u2023q56,4,3,2,4,2,4
254,-0.589,0,123@CRAM,w37.s98.u2024q3,2,2,1,3,1,3
255,0.85,0,123@CRAM,w37.s98.u2024q4,3,4,3,3,2,5
256,-1.1,0,123@CRAM,w37.s98.u2024q13,1,3,1,2,1,1
257,-1.377,0,123@CRAM,w37.s98.u2024q15,1,1,2,2,1,1
258,-0.465,0,123@CRAM,w37.s98.u2024q17,2,3,2,1,2,2
259,-0.399,0,123@CRAM,w37.s98.u2024q19,3,2,2,2,1,3
260,-0.792,0,123@CRAM,w37.s98.u2024q56,2,2,2,2,1,2
261,-0.9,0,122@cram,w37.s98.u2025q3,2,2,1,2,1,2
262,-0.415,0,122@cram,w37.s98.u2025q4,4,1,1,2,2,2
263,-0.366,0,122@cram,w37.s98.u2025q13,2,3,3,3,1,2
264,-1.485,0,122@cram,w37.s98.u2025q15,1,1,1,2,1,1
265,-0.531,0,122@cram,w37.s98.u2025q17,2,2,2,2,2,2
266,1.467,0,122@cram,w37.s98.u2025q19,5,4,3,4,3,4
267,1.205,0,122@cram,w37.s98.u2025q56,5,4,4,4,3,2
268,0.88,0,124@CRAM,w37.s98.u2026q3,3,4,5,3,2,4
269,-0.513,0,124@CRAM,w37.s98.u2026q4,2,2,1,3,2,2
270,-0.885,0,124@CRAM,w37.s98.u2026q13,1,3,3,2,1,1
271,-1.292,0,124@CRAM,w37.s98.u2026q15,1,2,1,2,1,1
272,0.287,0,124@CRAM,w37.s98.u2026q17,3,3,3,3,2,3
273,-0.508,0,124@CRAM,w37.s98.u2026q19,3,2,2,2,2,1
274,-0.505,0,124@CRAM,w37.s98.u2026q56,2,3,1,3,2,1
275,-1.107,0,125@CRAM,w37.s98.u2029q3,1,2,1,2,1,2
276,-1.292,0,125@CRAM,w37.s98.u2029q4,1,2,1,2,1,1
277,1.36,0,125@CRAM,w37.s98.u2029q13,5,4,2,4,3,4
278,0.048,0,125@CRAM,w37.s98.u2029q15,2,3,2,3,3,2
279,1.595,0,125@CRAM,w37.s98.u2029q17,5,3,3,3,4,5
280,1.143,0,125@CRAM,w37.s98.u2029q19,4,3,3,4,4,3
281,-0.398,0,125@CRAM,w37.s98.u2029q56,2,3,2,3,2,1
282,-0.877,0,126@CRAM,w37.s98.u2030q3,3,2,1,2,1,1
283,1.226,0,126@CRAM,w37.s98.u2030q4,5,3,2,3,3,5
284,0.18,0,126@CRAM,w37.s98.u2030q13,3,3,2,3,2,3
285,0.338,0,126@CRAM,w37.s98.u2030q15,4,3,2,2,3,2
286,-0.524,0,126@CRAM,w37.s98.u2030q17,2,3,2,2,2,1
287,-0.673,0,126@CRAM,w37.s98.u2030q19,3,1,1,1,3,1
288,-0.541,0,126@CRAM,w37.s98.u2030q56,4,1,1,1,2,2
289,1.2,0,127@CRAM,w37.s98.u2045q3,4,4,3,5,3,3
290,1.234,0,127@CRAM,w37.s98.u2045q4,5,4,2,3,3,4
291,-0.5,0,127@CRAM,w37.s98.u2045q13,3,3,1,2,1,2
292,2.007,0,127@CRAM,w37.s98.u2045q15,5,4,2,5,5,4
293,-0.785,0,127@CRAM,w37.s98.u2045q17,2,3,2,2,1,1
294,1.36,0,127@CRAM,w37.s98.u2045q19,5,4,2,4,3,4
295,0.388,0,127@CRAM,w37.s98.u2045q56,4,3,2,3,2,3
296,-0.707,0,128@CRAM,w37.s98.u2055q3,2,3,1,2,1,2
297,0.441,0,128@CRAM,w37.s98.u2055q4,3,3,2,3,3,3
298,0.541,0,128@CRAM,w37.s98.u2055q13,4,3,1,3,3,3
299,1.144,0,128@CRAM,w37.s98.u2055q15,4,3,2,4,3,5
300,0.422,0,128@CRAM,w37.s98.u2055q17,3,3,3,2,3,3
301,-0.216,0,128@CRAM,w37.s98.u2055q19,4,3,1,2,2,1
302,-0.766,0,128@CRAM,w37.s98.u2055q56,2,3,1,3,1,1
303,1.92,0,129@CRAM,w37.s98.u2056q3,5,5,3,4,4,4
304,1.026,0,129@CRAM,w37.s98.u2056q4,4,4,2,3,3,4
305,0.948,0,129@CRAM,w37.s98.u2056q13,4,4,3,3,3,3
306,1.543,0,129@CRAM,w37.s98.u2056q15,5,4,3,4,4,3
307,-0.266,0,129@CRAM,w37.s98.u2056q17,3,3,2,3,1,2
308,1.243,0,129@CRAM,w37.s98.u2056q19,5,3,2,4,4,3
309,0.415,0,129@CRAM,w37.s98.u2056q56,4,3,1,2,3,3
310,-0.082,0,130@CRAM,w37.s98.u2057q3,3,3,3,3,2,1
311,-0.06,0,130@CRAM,w37.s98.u2057q4,2,3,1,3,3,2
312,1.71,0,130@CRAM,w37.s98.u2057q13,5,4,4,3,4,4
313,-0.877,0,130@CRAM,w37.s98.u2057q15,3,2,1,2,1,1
314,-0.5,0,130@CRAM,w37.s98.u2057q17,3,3,1,2,1,2
315,0.974,0,130@CRAM,w37.s98.u2057q19,3,4,4,4,3,3
316,1.355,0,130@CRAM,w37.s98.u2057q56,4,4,1,5,3,5
317,-0.321,0,121@cram,w37.s98.u2058q3,2,3,1,3,2,2
318,-0.892,0,121@cram,w37.s98.u2058q4,2,3,1,2,1,1
319,1.836,0,121@cram,w37.s98.u2058q13,5,4,4,4,4,4
320,-0.698,0,121@cram,w37.s98.u2058q15,2,2,1,3,2,1
321,-0.513,0,121@cram,w37.s98.u2058q17,2,2,1,3,2,2
322,1.567,0,121@cram,w37.s98.u2058q19,5,3,4,4,3,5
323,0.571,0,121@cram,w37.s98.u2058q56,4,3,3,3,3,2
324,-0.577,0,127@cram,w37.s98.u2062q3,3,3,2,2,1,1
325,0.864,0,127@cram,w37.s98.u2062q4,4,3,4,3,3,3
326,1.351,0,127@cram,w37.s98.u2062q13,5,3,3,4,4,3
327,-0.584,0,127@cram,w37.s98.u2062q15,3,2,2,2,1,2
328,-0.524,0,127@cram,w37.s98.u2062q17,2,3,2,2,2,1
329,-0.19,0,127@cram,w37.s98.u2062q19,3,3,2,3,2,1
330,1.335,0,127@cram,w37.s98.u2062q56,4,4,3,4,4,3
331,-1.292,0,131@cram,w37.s98.u2063q3,1,2,1,2,1,1
332,-0.223,0,131@cram,w37.s98.u2063q4,4,2,1,2,2,2
333,-1.166,0,131@cram,w37.s98.u2063q13,1,2,1,3,1,1
334,-1.292,0,131@cram,w37.s98.u2063q15,1,2,1,2,1,1
335,-0.716,0,131@cram,w37.s98.u2063q17,2,2,2,2,2,1
336,-1.107,0,131@cram,w37.s98.u2063q19,1,2,1,2,1,2
337,-1.107,0,131@cram,w37.s98.u2063q56,1,2,1,2,1,2
338,-0.275,0,133@CRAM,w37.s98.u2169q3,3,2,3,3,2,1
339,0.482,0,133@CRAM,w37.s98.u2169q4,3,2,3,4,3,3
340,0.31,0,133@CRAM,w37.s98.u2169q13,4,3,3,3,2,2
341,-1.485,0,133@CRAM,w37.s98.u2169q15,1,1,1,2,1,1
342,-0.179,0,133@CRAM,w37.s98.u2169q17,3,2,1,4,2,2
343,-0.765,0,133@CRAM,w37.s98.u2169q19,2,2,1,1,2,2
344,0.297,0,133@CRAM,w37.s98.u2169q56,4,3,1,4,3,1
345,1.049,0,133@cram,w37.s98.u2171q3,5,4,2,3,3,3
346,0.967,0,133@cram,w37.s98.u2171q4,4,4,2,4,3,3
347,0.841,0,133@cram,w37.s98.u2171q13,4,4,2,3,3,3
348,-1.292,0,133@cram,w37.s98.u2171q15,1,2,1,2,1,1
349,0.322,0,133@cram,w37.s98.u2171q17,3,4,2,2,3,2
350,1.017,0,133@cram,w37.s98.u2171q19,4,3,3,3,4,3
351,0.333,0,133@cram,w37.s98.u2171q56,3,3,1,3,3,3
352,0.782,0,135@cram,w37.s98.u2172q3,4,4,2,4,3,2
353,1.164,0,135@cram,w37.s98.u2172q4,4,4,5,3,3,3
354,1.57,0,135@cram,w37.s98.u2172q13,4,4,3,5,3,5
355,2.261,0,135@cram,w37.s98.u2172q15,5,5,5,5,4,4
356,2.136,0,135@cram,w37.s98.u2172q17,5,5,5,4,4,4
357,2.339,0,135@cram,w37.s98.u2172q19,5,5,4,5,4,5
358,1.651,0,135@cram,w37.s98.u2172q56,5,4,4,4,4,3
359,-0.234,0,136#@CRAM,w37.s98.u2173q3,4,3,2,1,2,1
360,-0.234,0,136#@CRAM,w37.s98.u2173q4,4,3,2,1,2,1
361,-0.442,0,136#@CRAM,w37.s98.u2173q13,3,3,2,1,2,1
362,-1.292,0,136#@CRAM,w37.s98.u2173q15,1,2,1,2,1,1
363,-1.085,0,136#@CRAM,w37.s98.u2173q17,2,2,1,2,1,1
364,-1.611,0,136#@CRAM,w37.s98.u2173q19,1,1,1,1,1,1
365,0.13,0,136#@CRAM,w37.s98.u2173q56,3,3,2,2,3,2
366,-1.085,0,137@CRAM,w37.s98.u2176q3,2,2,1,2,1,1
367,-1.085,0,137@CRAM,w37.s98.u2176q4,2,2,1,2,1,1
368,-1.085,0,137@CRAM,w37.s98.u2176q13,2,2,1,2,1,1
369,-1.292,0,137@CRAM,w37.s98.u2176q15,1,2,1,2,1,1
370,-1.085,0,137@CRAM,w37.s98.u2176q17,2,2,1,2,1,1
371,-1.277,0,137@CRAM,w37.s98.u2176q19,2,1,1,2,1,1
372,-1.003,0,137@CRAM,w37.s98.u2176q56,3,2,1,1,1,1
373,-1.085,0,138@CRAM,w37.s98.u2177q3,2,2,1,2,1,1
374,0.848,0,138@CRAM,w37.s98.u2177q4,3,4,4,3,3,3
375,-1.1,0,138@CRAM,w37.s98.u2177q13,1,3,1,2,1,1
376,-1.485,0,138@CRAM,w37.s98.u2177q15,1,1,1,2,1,1
377,-0.321,0,138@CRAM,w37.s98.u2177q17,2,3,1,3,2,2
378,0.061,0,138@CRAM,w37.s98.u2177q19,3,4,2,2,2,2
379,0.541,0,138@CRAM,w37.s98.u2177q56,4,3,1,3,3,3
380,0.926,0,140#@CRAM,w37.s98.u2179q3,3,4,3,3,3,4
381,1.234,0,140#@CRAM,w37.s98.u2179q4,5,4,2,3,3,4
382,1.561,0,140#@CRAM,w37.s98.u2179q13,4,4,4,2,4,5
383,-1.292,0,140#@CRAM,w37.s98.u2179q15,1,2,1,2,1,1
384,-0.505,0,140#@CRAM,w37.s98.u2179q17,2,3,1,3,2,1
385,-0.005,0,140#@CRAM,w37.s98.u2179q19,3,3,2,3,2,2
386,1.049,0,140#@CRAM,w37.s98.u2179q56,5,4,2,3,3,3
387,1.435,0,141#@CRAM,w37.s98.u2180q3,5,4,2,4,4,3
388,0.768,0,141#@CRAM,w37.s98.u2180q4,3,4,2,2,4,3
389,0.71,0,141#@CRAM,w37.s98.u2180q13,3,4,1,3,3,4
390,-0.339,0,141#@CRAM,w37.s98.u2180q15,2,3,2,2,2,2
391,-0.824,0,141#@CRAM,w37.s98.u2180q17,2,2,1,2,2,1
392,-0.113,0,141#@CRAM,w37.s98.u2180q19,3,3,1,3,2,2
