,ratings,predictions,ink
108,[0.4503685235977173],[0.5517578125],[10206.73046875]
109,[0.23495109379291534],[0.2435302734375],[2735.37646484375]
110,[0.6020265817642212],[0.53857421875],[7198.1767578125]
111,[0.5703186988830566],[0.357177734375],[5366.88232421875]
112,[0.41847553849220276],[0.25244140625],[4787.9765625]
113,[0.3456365764141083],[0.51025390625],[7753.16455078125]
114,[0.07153326272964478],[0.3740234375],[6306.2939453125]
115,[0.3363350033760071],[0.463623046875],[6017.541015625]
116,[0.23495109379291534],[0.5263671875],[9008.15234375]
117,[0.30538010597229004],[0.444091796875],[5967.494140625]
118,[0.36741939187049866],[0.484619140625],[10237.447265625]
119,[0.4119562804698944],[0.1141357421875],[5630.1171875]
120,[0.45948556065559387],[0.498291015625],[8673.953125]
121,[0.14672613143920898],[0.32275390625],[6178.91748046875]
122,[0.23373273015022278],[0.47412109375],[7080.39990234375]
123,[0.1988126039505005],[0.395263671875],[6995.9052734375]
124,[0.23145844042301178],[0.358154296875],[6977.7646484375]
125,[0.46687212586402893],[0.496826171875],[10427.09375]
126,[0.6286742687225342],[0.490234375],[12206.96484375]
127,[0.5951926112174988],[0.481689453125],[7027.17626953125]
128,[0.350355327129364],[0.4814453125],[9233.8115234375]
129,[0.47706276178359985],[0.50830078125],[8069.2939453125]
130,[0.5220431089401245],[0.50927734375],[10328.94140625]
131,[0.1913800686597824],[0.19580078125],[3769.09423828125]
132,[0.6102442741394043],[0.51953125],[9375.8125]
133,[0.29506972432136536],[0.427734375],[10499.1298828125]
134,[0.43765655159950256],[0.53369140625],[10095.0234375]
135,[0.12537090480327606],[0.4072265625],[9324.1884765625]
136,[0.6734141707420349],[0.546875],[7494.92919921875]
137,[0.5379431843757629],[0.5771484375],[8467.646484375]
138,[0.14428021013736725],[0.385986328125],[7733.400390625]
139,[0.5234874486923218],[0.66259765625],[16826.77734375]
140,[0.36741939187049866],[0.5322265625],[24214.775390625]
141,[0.4534730911254883],[0.5419921875],[14105.19921875]
142,[0.07153326272964478],[0.389404296875],[7861.1533203125]
143,[0.3515569567680359],[0.56640625],[14411.681640625]
144,[0.6440547704696655],[0.57666015625],[8858.318359375]
145,[0.5282706618309021],[0.40087890625],[7136.3291015625]
146,[0.29621297121047974],[0.36474609375],[7492.06982421875]
147,[0.5431409478187561],[0.58203125],[15574.89453125]
148,[0.19115959107875824],[0.36083984375],[4993.505859375]
149,[0.12537090480327606],[0.351318359375],[7197.7880859375]
150,[0.33875152468681335],[0.5625],[22642.318359375]
151,[0.34005165100097656],[0.45361328125],[6952.84716796875]
152,[0.27159813046455383],[0.4140625],[10555.541015625]
153,[0.2453332394361496],[0.405517578125],[5575.046875]
154,[0.3384016156196594],[0.0755615234375],[5040.6943359375]
155,[0.3465544283390045],[0.396484375],[7425.046875]
156,[0.07153326272964478],[0.333251953125],[6597.55322265625]
157,[0.31766557693481445],[0.46630859375],[9013.6826171875]
158,[0.6701613664627075],[0.556640625],[5794.36474609375]
159,[0.6400770545005798],[0.373779296875],[6084.6943359375]
160,[0.5481964349746704],[0.529296875],[7544.89404296875]
161,[0.3171559274196625],[0.412841796875],[7509.02294921875]
162,[0.23872193694114685],[0.39501953125],[5738.1767578125]
163,[0.14428021013736725],[0.364990234375],[10894.4951171875]
164,[0.45948556065559387],[0.55810546875],[8533.1650390625]
165,[0.32534754276275635],[0.470458984375],[10035.6826171875]
166,[0.32580527663230896],[0.50537109375],[8226.1533203125]
167,[0.1988126039505005],[0.395751953125],[14659.236328125]
168,[0.14428021013736725],[0.3818359375],[13679.634765625]
169,[0.6527121663093567],[0.44970703125],[7006.89404296875]
170,[0.41895657777786255],[0.55126953125],[13130.3056640625]
171,[0.684434711933136],[0.54833984375],[10165.89453125]
172,[0.6003694534301758],[0.400390625],[10159.0224609375]
173,[0.35122042894363403],[0.5078125],[11712.10546875]
174,[0.24045036733150482],[0.33251953125],[4827.1533203125]
175,[0.6074740886688232],[0.5234375],[7462.50634765625]
176,[0.44341766834259033],[0.44775390625],[7546.1298828125]
177,[0.4699041247367859],[0.432373046875],[6209.05859375]
178,[0.3261120021343231],[0.410888671875],[5149.29443359375]
179,[0.2618802487850189],[0.479248046875],[5316.9296875]
180,[0.31221261620521545],[0.438720703125],[7063.05859375]
181,[0.6096987128257751],[0.34765625],[10513.9287109375]
182,[0.6292703747749329],[0.478759765625],[6129.646484375]
183,[0.3249858617782593],[0.280517578125],[3656.294189453125]
184,[0.776386022567749],[0.5791015625],[10389.9296875]
185,[0.2753918170928955],[0.499755859375],[5514.7177734375]
186,[0.6527121663093567],[0.5517578125],[10288.1533203125]
187,[0.47935763001441956],[0.51708984375],[8194.0703125]
188,[0.28510552644729614],[0.2724609375],[9232.7763671875]
189,[0.48521098494529724],[0.55126953125],[6069.8115234375]
190,[0.5066375136375427],[0.489501953125],[5921.03515625]
191,[0.5894630551338196],[0.54541015625],[6040.98828125]
192,[0.48210781812667847],[0.48193359375],[6846.6826171875]
193,[0.37221062183380127],[0.50439453125],[5778.470703125]
194,[0.2731890082359314],[0.4619140625],[5812.2939453125]
195,[0.7608445882797241],[0.486572265625],[7661.7998046875]
196,[0.5906488299369812],[0.58056640625],[9693.90625]
197,[0.5776439905166626],[0.64111328125],[7707.03564453125]
198,[0.6881409883499146],[0.55517578125],[7248.400390625]
199,[0.37396007776260376],[0.455322265625],[6322.494140625]
200,[0.6228112578392029],[0.5107421875],[6691.482421875]
201,[0.484912633895874],[0.3623046875],[5831.91796875]
202,[0.4067666232585907],[0.388916015625],[11138.17578125]
203,[0.39390385150909424],[0.6181640625],[13202.435546875]
204,[0.7176351547241211],[0.44482421875],[6966.576171875]
205,[0.24045036733150482],[0.351318359375],[7716.65869140625]
206,[0.3249858617782593],[0.474365234375],[7712.494140625]
207,[0.5797555446624756],[0.5517578125],[7600.2939453125]
208,[0.6403833627700806],[0.58349609375],[13824.400390625]
209,[0.3555050194263458],[0.499755859375],[12183.0703125]
210,[0.24607151746749878],[0.43603515625],[7508.599609375]
211,[0.7419370412826538],[0.71533203125],[14297.482421875]
212,[0.28411775827407837],[0.5888671875],[10086.953125]
213,[0.3171559274196625],[0.440673828125],[5208.42333984375]
214,[0.678877592086792],[0.65283203125],[15677.7177734375]
215,[0.5116496682167053],[0.4306640625],[6284.576171875]
216,[0.3176681697368622],[0.33251953125],[5629.49365234375]
217,[0.5522277355194092],[0.61865234375],[9382.1298828125]
218,[0.6434481143951416],[0.6142578125],[10653.3056640625]
219,[0.30946359038352966],[0.418212890625],[6884.65869140625]
220,[0.3261120021343231],[0.4912109375],[10334.400390625]
221,[0.39121562242507935],[0.53369140625],[8630.87109375]
222,[0.641959547996521],[0.6748046875],[10979.810546875]
223,[0.14428021013736725],[0.30810546875],[8821.140625]
224,[0.3566115200519562],[0.160400390625],[3896.6826171875]
225,[0.17436207830905914],[0.34326171875],[8573.552734375]
226,[0.14428021013736725],[0.36962890625],[8620.470703125]
227,[0.28571948409080505],[0.488525390625],[8019.7412109375]
228,[0.1988126039505005],[0.416748046875],[7126.67041015625]
229,[0.1988126039505005],[0.388427734375],[5401.8115234375]
230,[0.36355799436569214],[0.393310546875],[7987.83544921875]
231,[0.48793500661849976],[0.5888671875],[6849.10595703125]
232,[0.4647427797317505],[0.611328125],[11715.8232421875]
233,[0.07153326272964478],[0.33447265625],[6186.1650390625]
234,[0.36568865180015564],[0.4765625],[6709.34130859375]
235,[0.2740831673145294],[0.36962890625],[7982.2236328125]
236,[0.4788379371166229],[0.52685546875],[7238.27099609375]
237,[0.5948388576507568],[0.56640625],[7877.2587890625]
238,[0.5800898671150208],[0.59619140625],[15501.8359375]
239,[0.5597283840179443],[0.6357421875],[10516.7998046875]
240,[0.14428021013736725],[0.52294921875],[12552.01171875]
241,[0.4699430465698242],[0.5048828125],[7346.7412109375]
242,[0.5775853395462036],[0.63671875],[20525.998046875]
243,[0.467292457818985],[0.59130859375],[9836.552734375]
244,[0.5552910566329956],[0.427978515625],[10457.01171875]
245,[0.5973117351531982],[0.53076171875],[7718.6943359375]
246,[0.6702954769134521],[0.6572265625],[18898.201171875]
247,[0.8426367044448853],[0.52490234375],[8021.541015625]
248,[0.8094799518585205],[0.461181640625],[7873.634765625]
249,[0.8695898056030273],[0.58056640625],[11052.669921875]
250,[0.7120685577392578],[0.595703125],[13195.517578125]
251,[0.3824193477630615],[0.26513671875],[3736.08251953125]
252,[0.3824193477630615],[0.2880859375],[3036.2353515625]
253,[0.349407821893692],[0.36181640625],[5654.95263671875]
254,[0.14428021013736725],[0.3779296875],[6448.046875]
255,[0.20337505638599396],[0.358642578125],[6227.08203125]
256,[0.0],[0.285400390625],[3721.7294921875]
257,[0.4305272102355957],[0.437255859375],[5275.39990234375]
258,[0.20337505638599396],[0.293212890625],[5085.11767578125]
259,[0.20337505638599396],[0.42138671875],[4823.2939453125]
260,[0.20337505638599396],[0.47705078125],[4825.7646484375]
261,[0.14428021013736725],[0.355224609375],[6142.29443359375]
262,[0.37708166241645813],[0.3359375],[9400.8466796875]
263,[0.20337505638599396],[0.3544921875],[6599.94140625]
264,[0.1551739126443863],[0.28466796875],[4666.44677734375]
265,[0.20783065259456635],[0.223876953125],[4519.67041015625]
266,[0.20337505638599396],[0.41064453125],[5595.0234375]
267,[0.5560633540153503],[0.55859375],[10281.2578125]
268,[0.19115959107875824],[0.3095703125],[4031.05859375]
269,[0.07153326272964478],[0.345947265625],[6081.08203125]
270,[0.3555050194263458],[0.43896484375],[7357.9296875]
271,[0.4241310656070709],[0.345947265625],[3424.093994140625]
272,[0.5066375136375427],[0.41796875],[5430.6474609375]
273,[0.27159813046455383],[0.40380859375],[5957.14111328125]
274,[0.5757365822792053],[0.6376953125],[13016.4951171875]
275,[0.6292703747749329],[0.54638671875],[10055.3525390625]
276,[0.6906014084815979],[0.552734375],[10980.201171875]
277,[0.14428021013736725],[0.3623046875],[7944.376953125]
278,[0.32580527663230896],[0.5576171875],[11033.435546875]
279,[0.4125787019729614],[0.50390625],[6422.541015625]
280,[0.5948388576507568],[0.544921875],[6287.91796875]
281,[0.6695458292961121],[0.5791015625],[8032.7646484375]
282,[0.5399817824363708],[0.501953125],[10335.1884765625]
283,[0.5404123663902283],[0.446044921875],[5373.0234375]
284,[0.30946359038352966],[0.4912109375],[12437.5068359375]
285,[0.3550072908401489],[0.521484375],[8706.0234375]
286,[0.2592846155166626],[0.5341796875],[6638.482421875]
287,[0.39228555560112],[0.426513671875],[8938.7998046875]
288,[0.555781900882721],[0.61279296875],[10089.8115234375]
289,[0.7057170271873474],[0.6904296875],[19075.12890625]
290,[0.5562365651130676],[0.52294921875],[6174.54150390625]
291,[0.661469042301178],[0.57958984375],[12373.611328125]
292,[0.5920179486274719],[0.650390625],[26021.28125]
293,[0.42459720373153687],[0.367919921875],[5546.6826171875]
294,[0.5752174854278564],[0.60498046875],[7474.0703125]
295,[0.07153326272964478],[0.358154296875],[7077.8466796875]
296,[0.5597516894340515],[0.5869140625],[11589.1181640625]
297,[0.20337505638599396],[0.39404296875],[5908.2470703125]
298,[0.2453332394361496],[0.458984375],[7328.96484375]
299,[0.41080141067504883],[0.517578125],[8012.11767578125]
300,[0.3249858617782593],[0.44921875],[6746.482421875]
301,[0.6933756470680237],[0.533203125],[7088.35302734375]
302,[0.36162760853767395],[0.424072265625],[7912.98828125]
303,[0.3909514248371124],[0.544921875],[8441.1884765625]
304,[0.5527496933937073],[0.55517578125],[8935.84765625]
305,[0.2843339741230011],[0.440185546875],[10246.470703125]
306,[0.5678016543388367],[0.456298828125],[6929.6943359375]
307,[0.4750036299228668],[0.38818359375],[6181.587890625]
308,[0.23877699673175812],[0.4833984375],[7043.423828125]
309,[0.4441589415073395],[0.42578125],[5438.953125]
310,[0.3550072908401489],[0.467529296875],[11661.541015625]
311,[0.3538103699684143],[0.45556640625],[8729.271484375]
312,[0.6344147324562073],[0.5791015625],[7999.35302734375]
313,[0.23145844042301178],[0.378662109375],[10990.1884765625]
314,[0.14672613143920898],[0.344970703125],[7399.57666015625]
315,[0.3592357039451599],[0.64208984375],[17399.6953125]
316,[0.39512762427330017],[0.388427734375],[9311.7998046875]
317,[0.4125787019729614],[0.463623046875],[5615.14111328125]
318,[0.10066942125558853],[0.20556640625],[4211.61181640625]
319,[0.6450348496437073],[0.58447265625],[5288.9296875]
320,[0.5274242758750916],[0.48876953125],[7573.0]
321,[0.6786555051803589],[0.5234375],[8115.56494140625]
322,[0.560012936592102],[0.4892578125],[8475.82421875]
323,[0.3085821568965912],[0.28173828125],[5468.529296875]
324,[0.5266830325126648],[0.5703125],[7336.2353515625]
325,[0.0],[0.29931640625],[11443.482421875]
326,[0.2453332394361496],[0.440673828125],[4410.37646484375]
327,[0.1551739126443863],[0.388916015625],[6913.046875]
328,[0.28301599621772766],[0.25537109375],[4496.505859375]
329,[0.39228555560112],[0.430908203125],[5281.2236328125]
330,[0.07153326272964478],[0.36328125],[7911.67041015625]
331,[0.29621297121047974],[0.349609375],[6181.99951171875]
332,[0.6701613664627075],[0.381591796875],[7003.32958984375]
333,[0.4221057593822479],[0.457763671875],[6388.02392578125]
334,[0.23145844042301178],[0.377685546875],[7674.8828125]
335,[0.2942277193069458],[0.324462890625],[7164.400390625]
336,[0.4644353985786438],[0.433837890625],[5457.0234375]
337,[0.5910171270370483],[0.41796875],[7830.494140625]
338,[0.7838488221168518],[0.607421875],[10846.494140625]
339,[0.6522998213768005],[0.55859375],[12084.0595703125]
340,[1.0],[0.666015625],[9893.8818359375]
341,[0.8695898056030273],[0.6845703125],[20423.12890625]
342,[0.555372416973114],[0.60888671875],[12375.541015625]
343,[0.6734141707420349],[0.65283203125],[18558.517578125]
344,[0.6939811110496521],[0.62890625],[9131.98828125]
345,[0.18310996890068054],[0.284912109375],[5615.2353515625]
346,[0.570698618888855],[0.57421875],[8076.32958984375]
347,[0.40199360251426697],[0.53125],[8895.2236328125]
348,[0.07153326272964478],[0.3330078125],[7288.423828125]
349,[0.2869136929512024],[0.460205078125],[6435.0]
350,[0.24607151746749878],[0.314208984375],[6992.8232421875]
351,[0.3743782639503479],[0.406005859375],[9393.740234375]
352,[0.29755860567092896],[0.414794921875],[4906.94140625]
353,[0.46413347125053406],[0.49462890625],[6770.8115234375]
354,[0.5291694402694702],[0.51318359375],[7147.39990234375]
355,[0.4273501932621002],[0.5498046875],[7320.57666015625]
356,[0.3866558372974396],[0.3916015625],[6987.541015625]
357,[0.2883540391921997],[0.281005859375],[5188.3525390625]
358,[0.3909514248371124],[0.4140625],[6139.63525390625]
359,[0.21447008848190308],[0.48828125],[7985.447265625]
360,[0.5254452228546143],[0.365234375],[4289.0]
361,[0.14672613143920898],[0.35693359375],[5130.3525390625]
362,[0.4591066241264343],[0.418212890625],[4845.0703125]
363,[0.20952758193016052],[0.326416015625],[5172.42333984375]
364,[0.4125787019729614],[0.484130859375],[5694.2353515625]
365,[0.07153326272964478],[0.335205078125],[5019.7529296875]
366,[0.2695316672325134],[0.501953125],[5808.95263671875]
367,[0.40199360251426697],[0.548828125],[5313.7998046875]
368,[0.36971911787986755],[0.49462890625],[6743.44677734375]
369,[0.7419370412826538],[0.4853515625],[7157.1767578125]
370,[0.8695898056030273],[0.611328125],[19842.578125]
371,[0.3550072908401489],[0.6552734375],[14129.517578125]
372,[0.6493397951126099],[0.67724609375],[10712.7529296875]
373,[0.2695316672325134],[0.368408203125],[4476.2587890625]
374,[0.5413625836372375],[0.50390625],[9018.365234375]
375,[0.4305272102355957],[0.456298828125],[7227.83544921875]
376,[0.19115959107875824],[0.332763671875],[6593.7412109375]
377,[0.5920891761779785],[0.5888671875],[12138.4345703125]
378,[0.6906875967979431],[0.56494140625],[11925.236328125]
379,[0.5762954950332642],[0.517578125],[6707.7880859375]
380,[0.47581422328948975],[0.5439453125],[9535.2119140625]
381,[0.5533299446105957],[0.556640625],[7787.94140625]
382,[0.44090506434440613],[0.390869140625],[4797.3525390625]
383,[0.6933756470680237],[0.5771484375],[19252.0234375]
384,[0.63262939453125],[0.51171875],[7576.400390625]
385,[0.14428021013736725],[0.326416015625],[6165.11767578125]
386,[0.4674678146839142],[0.51123046875],[7535.65869140625]
387,[0.300322026014328],[0.6044921875],[9941.7412109375]
388,[0.4793437719345093],[0.68115234375],[8076.94140625]
389,[0.5730036497116089],[0.5390625],[10188.0478515625]
390,[0.2302398532629013],[0.406005859375],[8536.1416015625]
391,[0.5400187373161316],[0.521484375],[7268.376953125]
392,[0.3015243411064148],[0.50390625],[6528.76513671875]
393,[0.48530417680740356],[0.492919921875],[6047.7177734375]
394,[0.17436207830905914],[0.4248046875],[7853.7646484375]
395,[0.2740831673145294],[0.3984375],[5781.12939453125]
396,[0.23495109379291534],[0.35400390625],[5375.7646484375]
397,[0.3555050194263458],[0.51953125],[10207.259765625]
398,[0.47578737139701843],[0.4794921875],[5599.05908203125]
399,[0.5413625836372375],[0.54638671875],[9746.529296875]
400,[0.14428021013736725],[0.4296875],[7667.6826171875]
401,[0.4067666232585907],[0.441162109375],[6215.68212890625]
402,[0.5982005000114441],[0.45947265625],[7523.89404296875]
403,[0.42418986558914185],[0.44482421875],[4813.0234375]
404,[0.2883540391921997],[0.5068359375],[7237.18798828125]
405,[0.22460892796516418],[0.334228515625],[5555.98828125]
406,[0.24607151746749878],[0.41845703125],[7295.7763671875]
407,[0.14428021013736725],[0.355712890625],[7125.2822265625]
408,[0.3096623122692108],[0.420654296875],[6942.7998046875]
409,[0.5221434235572815],[0.5283203125],[7805.64697265625]
410,[0.20783065259456635],[0.1953125],[3896.7763671875]
411,[0.07153326272964478],[0.216552734375],[7279.447265625]
412,[0.3316366672515869],[0.17822265625],[3918.7294921875]
413,[0.3555050194263458],[0.455810546875],[4812.92919921875]
414,[0.1988126039505005],[0.379638671875],[9056.8828125]
415,[0.300322026014328],[0.5546875],[9230.669921875]
416,[0.23495109379291534],[0.359130859375],[7113.7880859375]
417,[0.46413347125053406],[0.493896484375],[9692.12890625]
418,[0.337031751871109],[0.476318359375],[14597.482421875]
419,[0.408466637134552],[0.55859375],[11248.96484375]
420,[0.4434898793697357],[0.5234375],[7532.2939453125]
421,[0.44640037417411804],[0.525390625],[10937.236328125]
422,[0.35005074739456177],[0.427490234375],[7518.0]
423,[0.5400187373161316],[0.58251953125],[7460.435546875]
424,[0.5516586303710938],[0.398681640625],[8496.7294921875]
425,[0.28510552644729614],[0.441162109375],[7031.96484375]
426,[0.4441589415073395],[0.48828125],[10194.1640625]
427,[0.5555059313774109],[0.58642578125],[7983.6123046875]
428,[0.6083580851554871],[0.5849609375],[7239.10595703125]
429,[0.3928506672382355],[0.31982421875],[6949.953125]
430,[0.46087291836738586],[0.442138671875],[8575.08203125]
431,[0.5068815350532532],[0.70751953125],[12809.01171875]
432,[0.4649350345134735],[0.48193359375],[8995.87109375]
433,[0.3249858617782593],[0.51318359375],[9061.400390625]
434,[0.5466725826263428],[0.479736328125],[6285.87060546875]
435,[0.1988126039505005],[0.33251953125],[8694.8232421875]
436,[0.34005165100097656],[0.40869140625],[7864.28271484375]
437,[0.6701613664627075],[0.6845703125],[10544.716796875]
438,[0.28820571303367615],[0.46728515625],[8837.1533203125]
439,[0.20337505638599396],[0.384033203125],[7392.318359375]
440,[0.4534730911254883],[0.42431640625],[5586.19970703125]
441,[0.6340368390083313],[0.64404296875],[9520.15234375]
442,[0.32373151183128357],[0.37353515625],[11125.353515625]
443,[0.4470392167568207],[0.505859375],[6862.2939453125]
444,[0.4470392167568207],[0.3720703125],[10047.2822265625]
445,[0.3261120021343231],[0.320556640625],[4982.22314453125]
446,[0.5333423018455505],[0.415771484375],[5824.91748046875]
447,[0.2698909342288971],[0.1575927734375],[3753.16455078125]
448,[0.48210781812667847],[0.4716796875],[5841.1171875]
449,[0.22529594600200653],[0.53173828125],[11247.494140625]
450,[0.2942277193069458],[0.53759765625],[8849.3525390625]
451,[0.23495109379291534],[0.341552734375],[6045.15283203125]
452,[0.4247218072414398],[0.234130859375],[4098.90576171875]
453,[0.22968704998493195],[0.442138671875],[7942.470703125]
454,[0.5597283840179443],[0.5263671875],[7852.90576171875]
455,[0.3249858617782593],[0.53173828125],[5208.18798828125]
456,[0.07153326272964478],[0.365478515625],[6915.623046875]
457,[0.3418301045894623],[0.482177734375],[7965.63525390625]
458,[0.23495109379291534],[0.36767578125],[6201.0703125]
459,[0.606505811214447],[0.59130859375],[12248.1064453125]
460,[0.5033330321311951],[0.529296875],[9405.09375]
461,[0.2731890082359314],[0.58349609375],[25699.751953125]
462,[0.14428021013736725],[0.248779296875],[3593.6826171875]
463,[0.14428021013736725],[0.37451171875],[6575.94091796875]
464,[0.3555050194263458],[0.52685546875],[8100.1884765625]
465,[0.39228555560112],[0.478515625],[8337.6357421875]
466,[0.6575596928596497],[0.57763671875],[8186.0]
467,[0.4014991819858551],[0.34375],[5745.87060546875]
468,[0.49713096022605896],[0.56640625],[6254.529296875]
469,[0.1988126039505005],[0.484619140625],[8850.7177734375]
470,[0.37221062183380127],[0.4169921875],[7131.9765625]
471,[0.5221434235572815],[0.52099609375],[5368.42333984375]
472,[0.39228555560112],[0.468994140625],[6473.1171875]
473,[0.33221668004989624],[0.59619140625],[10549.3642578125]
474,[0.33221668004989624],[0.5810546875],[10331.1064453125]
475,[0.2988625764846802],[0.428955078125],[5757.1298828125]
476,[0.35005074739456177],[0.39404296875],[5056.91748046875]
477,[0.14428021013736725],[0.489501953125],[7710.7412109375]
