userid,ImageID,rater1,rater2,rater3
164,109,2,1,4
172,110,4,2,1
111,111,3,2,2
188,112,2,3,2
102,113,4,3,2
129,114,5,5,4
118,115,5,3,3
194,116,3,3,3
107,117,2,1,1
157,118,3,2,4
163,119,5,3,4
165,120,NA,1,1
187,121,4,3,1
106,122,3,2,2
179,123,3,2,2
153,124,5,3,4
168,125,5,4,3
121,126,4,2,2
154,127,2,1,1
170,128,3,5,1
196,129,2,1,3
143,130,2,1,2
110,131,5,3,5
106,132,2,1,1
162,133,4,2,2
177,134,NA,1,1
168,135,4,5,2
135,136,3,2,3
196,137,4,2,2
151,138,2,1,1
196,139,2,2,2
109,140,3,4,2
120,141,5,3,5
176,142,4,2,5
193,143,4,4,4
176,144,3,2,2
130,145,5,4,5
117,146,3,2,2
183,147,3,2,3
177,148,4,3,5
127,149,3,2,3
122,150,5,5,5
132,151,4,5,1
181,152,2,1,2
180,153,4,4,5
157,154,3,4,4
157,155,4,2,2
129,156,3,2,1
169,157,3,1,4
178,158,4,4,2
143,159,4,3,4
144,160,3,2,5
145,161,2,1,1
128,162,2,1,2
167,163,3,3,1
192,164,2,1,3
192,165,4,3,3
174,166,4,4,5
126,167,3,2,2
168,168,5,4,4
114,169,4,2,4
114,170,2,2,3
119,171,4,4,4
116,172,2,2,2
158,173,4,4,5
109,174,3,1,2
180,175,2,3,1
171,176,2,1,1
194,177,3,3,3
149,178,3,3,1
165,179,NA,1,1
190,180,5,5,4
153,181,5,3,1
128,182,NA,1,1
199,183,3,5,2
105,184,4,3,3
132,185,2,2,1
198,186,3,3,3
135,187,2,2,1
131,188,2,3,4
113,189,2,1,2
193,190,2,3,4
115,191,3,2,3
133,192,NA,2,1
191,193,3,2,1
149,194,2,1,5
161,195,3,3,1
158,196,4,4,4
169,197,2,2,2
103,198,3,1,3
153,199,5,5,5
104,200,3,3,5
181,201,2,2,3
134,202,3,4,2
183,203,2,2,1
124,204,3,2,5
157,205,2,1,1
195,206,2,3,1
105,207,4,2,4
106,208,3,2,2
102,209,2,2,3
167,210,4,2,3
159,211,2,2,1
113,212,3,2,2
178,213,3,4,5
162,214,3,4,2
108,215,4,1,3
108,216,2,1,4
115,217,4,3,2
177,218,3,2,3
111,219,5,4,4
123,220,5,4,5
124,221,5,4,3
111,222,4,2,5
186,223,4,3,1
169,224,2,1,1
172,225,2,2,3
164,226,2,1,2
151,227,3,2,5
132,228,2,1,1
166,229,3,3,1
113,230,2,1,4
116,231,2,2,1
102,232,5,2,4
197,233,3,2,1
198,234,4,3,4
114,235,3,2,5
146,236,3,2,3
166,237,4,4,3
129,238,1,1,1
175,239,5,4,4
155,240,2,1,2
141,241,2,2,2
126,242,3,2,4
174,243,5,2,4
191,244,NA,2,1
172,245,3,2,2
139,246,4,4,5
195,247,2,1,1
125,248,NA,1,1
153,249,5,3,5
196,250,3,2,1
126,251,5,2,2
124,252,3,2,1
194,253,3,1,2
108,254,3,2,4
130,255,3,3,3
159,256,2,2,4
120,257,3,3,2
163,258,5,3,5
178,259,3,1,1
149,260,2,1,2
165,261,NA,1,2
177,262,2,2,2
123,263,5,4,4
159,264,2,1,1
112,265,2,1,1
151,266,4,2,2
182,267,5,3,5
193,268,5,4,4
149,269,2,2,4
127,270,NA,2,1
165,271,NA,1,1
193,272,3,3,4
150,273,2,2,3
199,274,4,4,2
119,275,3,2,2
112,276,2,1,3
130,277,3,2,2
138,278,3,2,5
140,279,5,2,3
131,280,2,1,1
168,281,3,3,1
110,282,3,2,1
138,283,3,2,5
130,284,5,5,3
131,285,5,4,1
112,286,3,4,3
159,287,4,3,3
128,288,2,1,1
117,289,2,2,4
101,290,5,5,4
129,291,3,3,1
155,292,5,4,4
187,293,2,2,2
105,294,4,3,1
192,295,2,2,2
114,296,3,3,2
182,297,5,2,5
178,298,5,2,3
193,299,2,3,3
115,300,2,1,1
150,301,4,3,2
139,302,5,3,5
118,303,5,3,4
157,304,2,2,3
160,305,5,2,5
121,306,4,3,2
151,307,2,3,3
200,308,3,3,4
148,309,NA,1,1
168,310,4,2,4
140,311,5,4,2
104,312,2,2,2
129,313,3,3,1
178,314,4,2,3
135,315,3,4,3
109,316,2,2,1
150,317,4,3,2
135,318,3,1,2
173,319,4,3,4
152,320,2,2,2
179,321,3,4,1
180,322,5,5,5
119,323,5,4,4
114,324,4,3,5
180,325,4,3,3
163,326,3,3,3
102,327,4,1,4
190,328,4,2,4
151,329,2,3,1
154,330,2,1,1
160,331,5,4,3
175,332,2,2,3
185,333,3,2,2
137,334,NA,3,1
110,335,3,3,4
172,336,5,3,4
133,337,5,4,4
183,338,3,2,5
136,339,3,2,1
181,340,2,2,1
118,341,3,3,4
114,342,3,1,4
188,343,5,3,4
105,344,3,3,2
168,345,5,3,5
172,346,4,3,2
142,347,2,1,3
136,348,2,2,2
199,349,2,1,3
138,350,3,3,2
143,351,3,2,4
117,352,2,1,5
132,353,2,1,3
131,354,5,3,3
190,355,2,3,1
124,356,2,4,1
131,357,4,3,4
139,358,2,1,1
170,359,4,1,4
116,360,2,2,2
187,361,2,1,1
109,362,2,1,2
145,363,2,2,1
103,364,5,1,4
174,365,5,2,5
169,366,5,2,3
121,367,4,4,4
167,368,2,2,1
155,369,4,3,5
185,370,4,3,2
156,371,5,2,5
192,372,3,2,3
140,373,5,3,5
135,374,2,1,3
148,375,2,2,2
125,376,2,1,1
194,377,2,2,1
146,378,3,3,3
125,379,2,1,2
141,380,2,1,4
170,381,4,5,3
138,382,4,1,3
119,383,3,3,3
185,384,2,2,2
158,385,5,5,5
136,386,3,2,1
122,387,4,3,4
121,388,5,3,5
151,389,5,3,4
142,390,3,3,4
173,391,4,2,5
109,392,3,4,2
183,393,3,2,2
167,394,3,3,2
115,395,2,2,3
186,396,3,2,1
120,397,5,3,3
160,398,5,1,3
154,399,2,1,3
117,400,1,1,2
101,401,2,4,2
175,402,NA,2,1
175,403,3,1,1
141,404,2,2,1
106,405,3,2,1
158,406,2,2,3
118,407,5,5,5
172,408,4,2,4
153,409,5,4,4
125,410,2,1,2
193,411,3,3,1
175,412,4,3,4
189,413,2,2,2
108,414,3,1,2
119,415,4,2,4
173,416,4,5,5
169,417,2,1,5
176,418,3,3,3
149,419,2,2,2
141,420,2,2,4
161,421,2,2,2
185,422,3,3,2
167,423,3,2,3
152,424,3,2,1
130,425,4,2,5
170,426,4,2,3
137,427,4,2,5
156,428,4,3,2
189,429,2,2,2
183,430,3,2,4
191,431,NA,1,1
195,432,4,3,5
179,433,4,2,3
101,434,5,5,5
101,435,5,5,3
110,436,3,2,2
126,437,4,2,5
103,438,3,3,4
141,439,3,2,1
134,440,4,1,2
154,441,3,1,2
194,442,3,3,5
130,443,5,3,5
133,444,5,3,3
186,445,2,2,1
134,446,3,2,2
115,447,5,4,4
150,448,4,4,1
185,449,3,2,2
137,450,4,1,1
168,451,3,2,2
162,452,4,3,3
144,453,2,1,2
147,454,3,2,1
196,455,2,2,1
109,456,3,2,5
128,457,1,3,3
144,458,5,2,5
158,459,3,2,2
188,460,5,3,5
146,461,2,2,2
142,462,2,1,2
174,463,4,2,5
146,464,4,2,3
186,465,2,2,1
146,466,2,2,2
149,467,2,3,4
148,468,NA,1,1
122,469,5,3,4
110,470,3,1,3
107,471,4,2,3
189,472,4,2,5
123,473,5,4,3
187,474,3,3,1
171,475,4,3,4
188,476,4,3,3
195,477,3,1,1
116,478,2,1,2
137,479,NA,1,1
199,480,2,1,3
164,481,3,2,3
190,482,4,3,5
147,483,2,1,1
102,484,3,2,4
162,485,3,4,1
123,486,5,5,4
152,487,4,1,2
172,488,4,2,3
161,489,4,2,3
158,490,5,2,5
142,491,2,1,2
124,492,4,3,4
141,493,2,1,4
101,494,5,3,4
161,495,3,2,3
197,496,4,3,4
111,497,2,1,1
104,498,3,1,3
189,499,4,3,3
124,500,4,1,3
101,501,4,3,4
179,502,2,1,3
116,503,3,2,1
188,504,4,2,4
111,505,3,1,1
135,506,2,2,1
159,507,5,4,5
158,508,2,2,4
166,509,5,3,4
164,510,4,1,5
142,511,5,3,4
116,512,3,3,1
174,513,3,2,4
124,514,4,5,2
164,515,2,1,2
186,516,5,5,2
110,517,3,3,4
198,518,3,3,4
104,519,4,2,4
182,520,4,3,5
182,521,2,2,1
105,522,2,1,1
155,523,2,3,2
195,524,3,2,1
132,525,4,4,1
179,526,3,2,1
160,527,5,4,5
177,528,2,3,1
178,529,1,2,2
105,530,3,1,3
128,531,2,2,2
165,532,2,1,2
148,533,2,2,2
198,534,NA,1,1
174,535,4,3,4
156,536,5,4,5
130,537,5,3,3
125,538,2,1,1
189,539,3,3,1
144,540,3,3,2
179,541,2,1,2
111,542,4,2,3
186,543,2,2,1
103,544,2,2,4
191,545,3,1,4
192,546,2,2,1
152,547,4,2,4
113,548,3,1,4
118,549,3,3,2
170,550,4,4,2
181,551,2,1,1
104,552,4,1,5
175,553,4,2,5
196,554,1,1,3
134,555,3,3,2
163,556,2,2,3
134,557,5,3,3
121,558,2,2,1
177,559,4,4,1
171,560,2,1,1
127,561,2,1,3
157,562,2,2,5
140,563,5,3,4
111,564,5,3,2
103,565,3,3,4
148,566,5,3,4
127,567,2,2,2
134,568,5,4,5
129,569,2,2,3
118,570,5,4,3
138,571,2,1,2
169,572,2,2,1
120,573,4,4,4
166,574,3,2,3
143,575,2,1,1
142,576,3,2,5
118,577,4,3,2
119,578,2,2,1
161,579,4,2,3
127,580,2,2,4
156,581,3,2,2
195,582,2,1,1
171,583,3,3,1
167,584,2,4,1
197,585,3,3,4
176,586,5,4,5
161,587,4,2,5
196,588,3,3,2
107,589,4,3,2
126,590,4,2,3
200,591,2,1,1
176,592,4,2,1
147,593,5,2,4
167,594,3,1,4
140,595,3,3,3
137,596,NA,3,1
121,597,5,4,3
137,598,4,2,2
103,599,2,2,2
147,600,5,3,5
133,601,NA,2,1
199,602,3,2,2
155,603,4,5,5
183,604,3,2,2
139,605,3,1,4
145,606,2,2,1
180,607,5,3,5
200,608,2,3,4
152,609,3,2,2
193,610,5,3,5
173,611,5,4,5
156,612,2,2,1
198,613,4,3,3
180,614,5,3,5
197,615,5,2,3
164,616,2,2,4
136,617,2,1,1
147,618,4,2,4
192,619,2,2,1
102,620,3,3,2
117,621,NA,3,1
146,622,2,2,1
154,623,3,2,4
107,624,3,2,5
166,625,5,4,5
190,626,5,4,5
112,627,3,2,3
142,628,3,2,4
128,629,3,2,5
200,630,5,4,5
161,631,3,2,1
125,632,2,2,3
115,633,4,3,4
155,634,5,3,3
181,635,2,1,1
182,636,3,3,4
182,637,5,4,2
120,638,3,3,3
154,639,2,1,2
188,640,4,4,5
113,641,2,1,4
185,642,2,1,1
191,643,NA,1,1
121,644,4,2,2
109,645,1,1,1
147,646,3,3,4
182,647,3,4,4
146,648,2,2,1
140,649,3,3,2
149,650,2,1,2
114,651,3,2,2
115,652,4,2,1
187,653,2,2,1
160,654,5,4,1
126,655,2,2,1
187,656,3,3,2
106,657,2,2,1
145,658,4,3,2
171,659,2,2,2
134,660,5,5,3
138,661,1,1,2
152,662,2,2,2
190,663,5,4,5
176,664,2,2,1
108,665,4,1,1
127,666,2,2,3
136,667,2,1,3
187,668,3,2,1
140,669,2,2,2
123,670,5,4,5
159,671,3,3,2
147,672,2,1,3
191,673,NA,2,1
194,674,3,2,1
180,675,4,5,3
171,676,5,2,3
173,677,4,2,3
191,678,4,3,2
107,679,2,2,1
133,680,3,3,4
101,681,4,5,4
181,682,1,1,1
150,683,4,3,5
135,684,2,2,3
122,685,5,5,4
153,686,4,3,5
129,687,NA,2,3
108,688,3,2,4
110,689,3,2,4
108,690,3,2,2
139,691,4,1,4
113,692,2,1,3
143,693,3,1,5
